ID,PoO,PoO_LAT,PoO_LNG,to,to_LAT,to_LNG,PNT
29,okau,-17.3923,13.606783,omangete,-17.500971,13.38364,228
30,okau,-17.3923,13.606783,epupa,-17.0021667,13.2441667,356
30,okau,-17.3923,13.606783,opuwo,-18.0539167,13.8326389,152
30,okau,-17.3923,13.606783,orotumba,-17.3417778,13.7805833,91
30,okau,-17.3923,13.606783,otjinungua,-17.264,12.4427222,
30,okau,-17.3923,13.606783,okanguati,-17.43125,13.2724,234
30,okau,-17.3923,13.606783,otjimuhaka,-17.3293611,13.8339722,86
30,okau,-17.3923,13.606783,ongokua,-16.656,13.423,27
30,okau,-17.3923,13.606783,ehomba,-17.4963889,13.8186389,113
30,okau,-17.3923,13.606783,ruacana,-17.434674,14.386568,
30,okau,-17.3923,13.606783,omangete,-17.500971,13.38364,208
31,orue,-17.439283,13.668533,epupa,-17.0021667,13.2441667,
31,orue,-17.439283,13.668533,opuwo,-18.0539167,13.8326389,189
31,orue,-17.439283,13.668533,orotumba,-17.3417778,13.7805833,53
31,orue,-17.439283,13.668533,otjinungua,-17.264,12.4427222,
31,orue,-17.439283,13.668533,okanguati,-17.43125,13.2724,323
31,orue,-17.439283,13.668533,otjimuhaka,-17.3293611,13.8339722,48
31,orue,-17.439283,13.668533,ongokua,-16.656,13.423,347
31,orue,-17.439283,13.668533,ehomba,-17.4963889,13.8186389,94
31,orue,-17.439283,13.668533,ruacana,-17.434674,14.386568,
31,orue,-17.439283,13.668533,omangete,-17.500971,13.38364,
32,orue,-17.439283,13.668533,epupa,-17.0021667,13.2441667,6
32,orue,-17.439283,13.668533,opuwo,-18.0539167,13.8326389,179
32,orue,-17.439283,13.668533,orotumba,-17.3417778,13.7805833,76
32,orue,-17.439283,13.668533,otjinungua,-17.264,12.4427222,
32,orue,-17.439283,13.668533,okanguati,-17.43125,13.2724,239
32,orue,-17.439283,13.668533,otjimuhaka,-17.3293611,13.8339722,82
32,orue,-17.439283,13.668533,ongokua,-16.656,13.423,3
32,orue,-17.439283,13.668533,ehomba,-17.4963889,13.8186389,124
32,orue,-17.439283,13.668533,ruacana,-17.434674,14.386568,98
32,orue,-17.439283,13.668533,omangete,-17.500971,13.38364,189.5
33,orue,-17.439283,13.668533,epupa,-17.0021667,13.2441667,331
33,orue,-17.439283,13.668533,opuwo,-18.0539167,13.8326389,205
33,orue,-17.439283,13.668533,orotumba,-17.3417778,13.7805833,48
33,orue,-17.439283,13.668533,otjinungua,-17.264,12.4427222,
33,orue,-17.439283,13.668533,okanguati,-17.43125,13.2724,206
33,orue,-17.439283,13.668533,otjimuhaka,-17.3293611,13.8339722,42
33,orue,-17.439283,13.668533,ongokua,-16.656,13.423,
33,orue,-17.439283,13.668533,ehomba,-17.4963889,13.8186389,67
33,orue,-17.439283,13.668533,ruacana,-17.434674,14.386568,75
33,orue,-17.439283,13.668533,omangete,-17.500971,13.38364,265
34,orue,-17.439283,13.668533,epupa,-17.0021667,13.2441667,281
34,orue,-17.439283,13.668533,opuwo,-18.0539167,13.8326389,160
