ID,PoO,PoO_LAT,PoO_LNG,to,to_LAT,to_LNG,Bearing_Indicated,Bearing_Actual,Bearing_Difference,Distance_Meters
27,okau,-17.3923,13.606783,opuwo,-18.0539167,13.8326389,190.5,161.9184,-28.58157,77045.01
27,okau,-17.3923,13.606783,orotumba,-17.3417778,13.7805833,92,73.18396,-18.81604,19298.63
27,okau,-17.3923,13.606783,otjinungua,-17.264,12.4427222,274,276.3727,2.37265,124550.1
27,okau,-17.3923,13.606783,okanguati,-17.43125,13.2724,263,263.032,3.20E-02,35788.93
27,okau,-17.3923,13.606783,otjimuhaka,-17.3293611,13.8339722,98,73.94188,-24.05812,25130.32
27,okau,-17.3923,13.606783,ongokua,-16.656,13.423,3,346.4698,-16.53015,83802.48
27,okau,-17.3923,13.606783,ehomba,-17.4963889,13.8186389,111.5,117.1381,5.638062,25282.81
27,okau,-17.3923,13.606783,ruacana,-17.434674,14.386568,,93.35631,,82984.38
27,okau,-17.3923,13.606783,omangete,-17.500971,13.38364,232,243.0645,11.06454,26581.13
28,okau,-17.3923,13.606783,epupa,-17.0021667,13.2441667,288,318.1695,30.16946,57897.14
28,okau,-17.3923,13.606783,opuwo,-18.0539167,13.8326389,191,161.9184,-29.08157,77045.01
28,okau,-17.3923,13.606783,orotumba,-17.3417778,13.7805833,72.5,73.18396,0.68396,19298.63
28,okau,-17.3923,13.606783,otjinungua,-17.264,12.4427222,,276.3727,,124550.1
28,okau,-17.3923,13.606783,okanguati,-17.43125,13.2724,260,263.032,3.031982,35788.93
28,okau,-17.3923,13.606783,otjimuhaka,-17.3293611,13.8339722,85.5,73.94188,-11.55812,25130.32
28,okau,-17.3923,13.606783,ongokua,-16.656,13.423,350,346.4698,-3.530151,83802.48
28,okau,-17.3923,13.606783,ehomba,-17.4963889,13.8186389,115,117.1381,2.138062,25282.81
28,okau,-17.3923,13.606783,ruacana,-17.434674,14.386568,,93.35631,,82984.38
28,okau,-17.3923,13.606783,omangete,-17.500971,13.38364,234,243.0645,9.064545,26581.13
29,okau,-17.3923,13.606783,epupa,-17.0021667,13.2441667,295,318.1695,23.16946,57897.14
29,okau,-17.3923,13.606783,opuwo,-18.0539167,13.8326389,226,161.9184,-64.08157,77045.01
29,okau,-17.3923,13.606783,orotumba,-17.3417778,13.7805833,56,73.18396,17.18396,19298.63
29,okau,-17.3923,13.606783,otjinungua,-17.264,12.4427222,,276.3727,,124550.1
29,okau,-17.3923,13.606783,okanguati,-17.43125,13.2724,259,263.032,4.031982,35788.93
29,okau,-17.3923,13.606783,otjimuhaka,-17.3293611,13.8339722,70,73.94188,3.941879,25130.32
29,okau,-17.3923,13.606783,ongokua,-16.656,13.423,,346.4698,,83802.48
29,okau,-17.3923,13.606783,ehomba,-17.4963889,13.8186389,100,117.1381,17.13806,25282.81
