Subject,Front,Trial,Degree,RT,Acc
28,1,9,60,6.25,0
28,1,10,60,7.3,0
28,1,11,240,5.2,0
28,1,12,0,7.92,0
28,1,1,120,12.23,1
28,1,2,120,18.15,0
28,1,3,60,22.22,1
28,1,4,300,5.75,1
28,1,5,0,10.13,1
28,1,6,240,9.66,1
28,1,7,180,9.58,1
28,1,8,0,8.75,1
28,1,9,300,8.73,1
28,1,10,60,6.17,1
28,1,11,180,23.5,1
28,1,12,240,9.08,1
29,0,1,0,5.88,1
29,0,2,240,16.3,1
29,0,3,60,6.75,1
29,0,4,120,12.45,1
29,0,5,300,6.13,1
29,0,6,240,14.83,1
29,0,7,120,4.88,1
29,0,8,180,13.45,1
29,0,9,60,6.07,1
29,0,10,0,4.4,1
29,0,11,300,3.65,1
29,0,12,180,11.88,0
29,1,1,180,33.27,0
29,1,2,300,7.27,1
29,1,3,0,3.26,1
29,1,4,240,4.57,1
29,1,5,60,3.07,1
29,1,6,240,7.45,1
29,1,7,60,3.06,1
29,1,8,0,2.93,1
29,1,9,300,3.7,1
29,1,10,120,3.33,1
29,1,11,180,4.47,0
29,1,12,120,3.25,1
29,1,1,0,14.15,1
29,1,2,180,15.63,0
29,1,3,300,19.97,1
29,1,4,120,11.26,1
29,1,5,0,6.85,1
29,1,6,120,9.82,0
29,1,7,300,32.22,1
29,1,8,240,15.22,1
29,1,9,240,9.78,0
29,1,10,60,4.95,1
29,1,11,180,7.77,0
29,1,12,60,8.95,1
30,0,1,240,4.67,1
30,0,2,180,7.35,0
30,0,3,240,4.6,1
30,0,4,180,3.45,1
30,0,5,60,3.4,1
30,0,6,120,4.13,1
30,0,7,60,3.35,1
30,0,8,300,3.37,1
30,0,9,300,4.32,1
30,0,10,120,2.48,1
30,0,11,0,5.88,1
30,0,12,0,2.62,1
30,1,1,0,4.54,1
30,1,2,240,2.82,1
30,1,3,300,2.6,1
30,1,4,0,3.9,1
30,1,5,120,3.05,1
30,1,6,60,3.83,1
30,1,7,180,3.88,1
30,1,8,60,2.72,1
30,1,9,180,5.67,1
30,1,10,240,2.88,1
30,1,11,120,2.23,1
30,1,12,300,2.18,1
31,0,1,120,49.06,1
31,0,2,60,28.82,1
31,0,3,0,23.77,0
31,0,4,300,19.72,0
31,0,5,240,38.53,0
31,0,6,180,60.5,1
31,0,7,60,10.67,1
31,0,8,300,9.95,1
31,0,9,240,43.15,1
31,0,10,0,26.42,0
31,0,11,120,12.1,0
31,0,12,180,21.33,1
32,0,1,60,16.5,1
32,0,2,120,14.22,1
32,0,3,180,18.12,1
32,0,4,240,7.18,1
32,0,5,0,6.38,1
32,0,6,60,5.98,1
32,0,7,300,9.25,1
32,0,8,240,12,1
32,0,9,180,16.83,1
32,0,10,0,4.72,1
32,0,11,300,3.92,1
32,0,12,120,11.53,1
35,0,1,60,5.54,1
35,0,2,240,21.15,1
35,0,3,240,5.95,1
35,0,4,120,3.75,1
35,0,5,300,2.27,1
35,0,6,120,4.45,1
35,0,7,0,2.15,1
35,0,8,60,2.5,1
35,0,9,0,2.32,1
35,0,10,180,21.82,1
35,0,11,300,2.57,1
35,0,12,180,14.05,1
35,1,1,240,26.47,1
35,1,2,180,7.63,1
35,1,3,60,2.12,1
35,1,4,0,2.21,1
35,1,5,120,3.06,1
35,1,6,300,2.35,1
35,1,7,60,2.02,1
35,1,8,120,3.97,1
35,1,9,180,4.35,1
35,1,10,300,2.13,1
35,1,11,240,2.35,1
35,1,12,0,1.45,1
36,0,1,60,14.09,1
36,0,2,0,10.03,1
36,0,3,180,14.5,1
36,0,4,120,5.75,1
36,0,5,300,5.33,1
36,0,6,180,28.69,0
36,0,7,60,3.65,1
36,0,8,120,7.58,1
36,0,9,0,4.22,1
36,0,10,240,7.83,1
36,0,11,240,3.96,1
36,0,12,300,4.73,1
36,1,1,60,11.27,1
36,1,2,240,5.12,1
36,1,3,120,4.35,1
36,1,4,0,3.35,1
36,1,5,300,3.53,1
36,1,6,120,4.82,1
36,1,7,0,2.77,1
36,1,8,240,3.27,1
36,1,9,180,5.11,1
36,1,10,60,5.23,1
36,1,11,300,3.33,1
36,1,12,180,6.3,1
37,0,1,60,7.22,1
37,0,2,180,9.41,0
37,0,3,0,4.85,1
37,0,4,240,5.42,1
37,0,5,120,5.3,0
37,0,6,240,7.28,1
37,0,7,60,3.13,1
37,0,8,300,4.92,1
37,0,9,120,8.7,0
37,0,10,300,3.13,1
37,0,11,180,10.85,0
37,0,12,0,4.1,1
37,1,1,0,5.69,1
37,1,2,120,6.43,1
37,1,3,240,3.2,1
37,1,4,180,15,0
37,1,5,300,3.85,1
37,1,6,240,11,1
37,1,7,300,2.62,1
37,1,8,120,8.08,1
37,1,9,0,3.1,1
37,1,10,180,5.08,0
37,1,11,60,1.76,1
37,1,12,60,2.33,1
39,0,1,300,15.58,1
39,0,2,60,22.63,1
39,0,3,120,12.95,1
39,0,4,0,4.07,1
39,0,5,300,8.8,1
39,0,6,180,4.38,0
39,0,7,180,9.78,1
39,0,8,240,11.87,1
39,0,9,120,11.28,1
39,0,10,0,3.61,1
39,0,11,60,4.22,1
39,0,12,240,9.1,1
39,1,1,240,22.87,1
39,1,2,120,9.38,1
39,1,3,300,3.02,1
39,1,4,60,6.28,1
39,1,5,300,5.18,1
39,1,6,0,4.27,1
39,1,7,180,19.93,0
39,1,8,120,10.94,1
39,1,9,0,5.17,1
39,1,10,180,12.63,1
39,1,11,240,6.78,1
39,1,12,60,2.97,1
40,0,1,180,5.68,1
40,0,2,120,3.08,0
